type        x           y           dx_actual   dy_actual   dx_ideal    dy_ideal    collisions  
Substrate   102         21          4           3           -3          4           13          
Substrate   102         42          -2          -7          -5          -10         10          
Substrate   102         92          -11         8           -8          12          13          
Enzyme      102         120         -1          3           -4          3           3           
ES          103         18          9           1           10          2           13          
Substrate   103         26          -10         12          -14         13          15          
Substrate   103         33          0           6           4           3           11          
Substrate   103         101         5           18          5           16          11          
Substrate   103         105         -1          -14         -1          -18         12          
Substrate   104         53          -4          5           -5          1           14          
Substrate   105         3           1           -1          -2          -4          9           
Substrate   105         15          -3          -2          4           -4          19          
Substrate   105         49          13          -1          11          -2          10          
ES          105         86          10          1           9           -1          11          
ES          105         98          2           -2          1           -2          15          
Substrate   106         16          0           -18         4           -11         12          
Substrate   106         18          -3          0           -5          -1          9           
Substrate   106         24          0           -7          2           -7          18          
Substrate   106         73          9           -3          12          -2          11          
Enzyme      106         114         10          -12         12          -10         13          
Substrate   106         122         -2          -5          -2          -8          8           
Substrate   107         9           -10         -6          -8          -10         11          
Substrate   107         10          10          5           8           7           9           
Substrate   107         54          9           -7          10          -6          9           
Substrate   107         114         5           10          5           9           17          
Substrate   108         3           -3          -10         2           -13         13          
Product     108         65          9           0           8           -1          5           
Enzyme      108         83          -7          -7          -4          -9          3           
Substrate   109         2           2           -3          2           1           14          
ES          109         9           16          7           15          11          20          
Substrate   109         24          2           -2          0           0           12          
Enzyme      109         31          6           -4          3           -2          12          
Substrate   109         56          -13         -5          -11         -6          13          
Substrate   109         91          11          1           6           6           11          
Substrate   109         93          -13         6           -9          10          16          
Product     109         103         3           2           4           2           6           
Substrate   109         108         0           5           -4          2           11          
Substrate   109         123         -9          -2          -7          -4          13          
Substrate   109         125         5           1           6           -2          11          
ES          110         6           -6          -10         -5          -12         6           
Substrate   110         11          -11         7           -10         5           16          
Substrate   110         16          9           -16         13          -16         21          
ES          110         24          -8          13          -9          13          18          
ES          110         68          -6          -5          -3          -6          10          
Substrate   110         69          10          -9          11          -13         16          
Substrate   110         124         -10         10          -8          8           15          
Substrate   111         33          11          -3          13          -3          6           
ES          111         51          -1          7           -9          10          12          
ES          111         53          1           -4          0           -3          17          
Substrate   111         102         7           8           9           10          16          
Enzyme      111         110         -7          3           -8          3           15          
Substrate   111         117         5           -9          2           -9          15          
Substrate   112         3           10          -10         16          -8          12          
ES          112         31          4           13          -4          15          8           
Product     112         42          -7          -6          -6          -7          3           
Substrate   112         71          13          -10         18          -6          12          
ES          112         72          2           -5          5           -6          13          
Enzyme      112         75          3           -7          4           -5          9           
